loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
81,2,Graduate,No,314975,457164,15,568,1239541,783870,38121040,13648968,Rejected
82,3,Graduate,No,1090446,442245,15,707,1124284,399407,10099637,4751629,Rejected
83,1,Not Graduate,Yes,1160269,464769,14,714,690578,204359,29182912,2171861,Rejected
84,1,Not Graduate,No,1113209,416649,10,690,2740462,472778,15941636,5656416,Approved
85,3,Graduate,Yes,1167875,222983,10,882,2352645,236213,1692459,14848851,Approved
86,2,Graduate,No,713785,285135,12,735,974772,518680,17134483,12250520,Rejected
87,0,Not Graduate,No,652493,283891,13,744,1055021,210482,12540184,12401040,Approved
88,1,Graduate,Yes,1086040,402602,6,592,2810464,536719,19444769,4937590,Approved
89,3,Graduate,Yes,441665,505116,17,572,2974446,418219,35652411,8153542,Rejected
90,5,Not Graduate,Yes,689061,194585,9,692,2814063,787054,30190095,12162252,Rejected
91,2,Graduate,Yes,552406,235737,14,716,450866,738157,30210069,1204125,Approved
92,3,Not Graduate,No,518727,173343,16,842,2658770,702127,24368974,7101090,Rejected
93,0,Graduate,No,392150,508344,11,865,1952109,688432,28721030,10928896,Approved
94,5,Graduate,Yes,635845,272095,19,833,1271174,165612,32577609,3584119,Rejected
95,4,Graduate,No,658248,118935,19,559,1224745,51614,38757212,14593027,Approved
96,2,Graduate,No,634260,410174,7,569,2969677,477660,33156381,7196457,Rejected
97,5,Graduate,No,1089691,159257,17,838,2806652,278328,11191876,6602769,Rejected
98,0,Not Graduate,No,517951,573192,15,871,912298,237883,21370967,14569705,Rejected
99,1,Not Graduate,No,269758,576087,13,668,2889322,676200,23042818,13030161,Rejected
100,0,Not Graduate,Yes,975219,205707,20,845,2003711,582050,7912522,1819401,Approved
101,0,Not Graduate,No,751096,291845,16,552,1254708,446311,13730738,4095339,Rejected
102,0,Not Graduate,No,1064781,207982,18,645,807016,215937,34322460,798561,Rejected
103,4,Not Graduate,No,662586,429450,20,613,909263,601245,20062905,5010854,Rejected
104,2,Graduate,No,1117633,277216,9,897,491884,795285,29141429,1504794,Approved
105,3,Graduate,Yes,827809,118968,10,840,1331654,408539,26295443,10280682,Approved
106,2,Not Graduate,Yes,427117,500088,12,583,464631,669639,19290565,9862683,Approved
107,2,Not Graduate,No,1144631,376875,12,633,2054895,57068,5227792,6221162,Rejected
108,2,Graduate,Yes,721042,170814,20,648,1535804,109371,19459908,9117002,Approved
109,5,Graduate,No,789865,588014,15,749,1649559,223208,4233616,3944402,Rejected
110,2,Not Graduate,Yes,838805,110190,10,744,435925,782928,33799142,6369909,Rejected
111,1,Graduate,Yes,569447,382947,15,710,344392,513925,925840,5703738,Approved
112,4,Graduate,Yes,1108835,344543,16,568,2595473,763770,4676981,12872573,Approved
113,5,Not Graduate,No,1129171,498576,10,762,1026011,214318,672493,2444163,Approved
114,2,Not Graduate,No,415583,361451,10,774,2991820,175828,22115408,11679105,Approved
115,5,Graduate,Yes,310339,435940,16,895,1575078,671213,30993384,11317725,Approved
116,3,Graduate,Yes,1036728,343963,10,603,1535013,585508,11923586,12565553,Rejected
117,4,Graduate,Yes,1159943,578609,15,799,457164,702614,1441102,8887565,Rejected
118,1,Not Graduate,No,1125867,121443,6,619,1498851,197053,39978043,13746174,Rejected
119,2,Graduate,No,1097699,427909,7,602,2413809,619036,1450865,3651418,Approved
120,3,Not Graduate,No,275022,149689,11,872,349609,254196,5819407,2198350,Approved
121,2,Not Graduate,No,455937,363971,16,798,710287,470819,28704700,14011713,Rejected
122,1,Not Graduate,Yes,1167868,212027,17,711,592050,216656,878647,11723486,Rejected
123,0,Not Graduate,No,973413,219542,6,838,936283,71304,24007749,9428973,Rejected
124,5,Not Graduate,Yes,995803,443378,6,834,1732650,211118,32778543,4839930,Rejected
125,3,Not Graduate,Yes,543638,396034,20,617,1830787,520610,39556494,3459780,Approved
126,4,Graduate,No,995339,187341,8,620,579178,78674,9279445,6605584,Rejected
127,2,Not Graduate,No,629736,110584,11,834,1323423,711828,25032760,9078960,Rejected
128,2,Graduate,No,314265,367197,7,631,2889376,596388,1780644,10682102,Rejected
129,3,Not Graduate,Yes,681550,168002,9,821,1979897,473757,10015522,5375052,Approved
130,2,Not Graduate,Yes,335437,259415,20,811,1977938,61705,9559491,13133599,Approved
131,0,Not Graduate,No,1113894,192905,6,663,2522502,373590,7827917,13872151,Approved
132,4,Graduate,No,1007959,576568,6,802,2969150,91862,34395625,12059686,Rejected
133,4,Not Graduate,No,635567,564873,18,598,326424,584842,32848850,162070,Rejected
134,0,Not Graduate,No,419670,341850,19,624,1672758,367432,19754452,4425373,Rejected
135,2,Not Graduate,No,1136782,166610,8,773,820024,586766,10683815,11029894,Approved
136,0,Graduate,Yes,258862,532591,9,695,478986,165934,36619518,2636113,Approved
137,0,Not Graduate,No,1127787,154686,10,770,1573565,268879,32177537,4360882,Rejected
138,2,Not Graduate,No,660234,432377,12,656,390987,190399,29870884,7188530,Rejected
139,5,Not Graduate,Yes,694892,296119,18,876,681995,552876,33308340,13177696,Rejected
140,2,Not Graduate,Yes,1160586,585765,20,610,1729626,170929,7655745,597263,Approved
141,0,Graduate,No,892527,531881,18,566,1327154,607764,33371824,2616683,Approved
142,2,Not Graduate,No,228436,384765,16,890,1864895,317771,3718754,8795372,Approved
143,5,Graduate,Yes,1192892,516258,8,892,2222663,312892,12409796,1323205,Approved
144,3,Graduate,Yes,1037049,271258,19,690,2998528,358148,37174082,10735564,Approved
145,1,Not Graduate,Yes,863828,438823,15,688,2137454,525426,36422291,6272659,Rejected
146,4,Graduate,Yes,246599,210304,13,875,505180,748765,34654773,14082506,Rejected
147,2,Not Graduate,Yes,1104958,281589,15,753,2714192,762767,5509502,12804634,Approved
148,3,Graduate,No,467185,445334,7,627,2472619,306269,5011960,12007715,Rejected
149,4,Graduate,Yes,579473,414457,14,608,446489,241336,18742380,11709977,Approved
150,4,Not Graduate,No,269481,589470,17,870,834554,507440,620418,8163001,Rejected
151,3,Graduate,No,1064167,540706,6,731,978839,224204,13343817,2352646,Approved
152,3,Not Graduate,No,1167077,445118,20,842,932474,339061,8306791,4387639,Approved
153,4,Graduate,Yes,749518,318140,8,813,2317058,97446,14078860,1941126,Rejected
154,0,Not Graduate,No,1006435,428900,19,591,1504266,286929,19960826,8838657,Approved
155,0,Graduate,Yes,562498,545771,12,581,1800550,659002,20211320,3806152,Rejected
156,4,Graduate,No,888859,347572,15,629,1752100,68650,27772044,8464136,Rejected
157,3,Not Graduate,Yes,306928,138433,18,846,2808485,652223,318290,8440576,Approved
158,3,Graduate,Yes,373145,174402,17,720,1855426,366009,5803810,10745399,Approved
159,4,Graduate,Yes,469096,246166,20,551,2412951,704803,8007902,10355512,Rejected
160,4,Graduate,Yes,630620,304318,11,824,356461,500423,37056143,3095868,Approved
161,3,Not Graduate,No,977522,491213,18,663,573699,204619,35746659,4140472,Approved
162,0,Not Graduate,Yes,767358,219701,15,594,2062714,631084,4952402,548846,Approved
163,2,Not Graduate,No,1112320,121792,17,572,908775,94425,36881161,13705580,Approved
164,0,Not Graduate,No,990587,311443,15,900,1830526,572828,35664055,12795088,Rejected
165,5,Graduate,Yes,214636,506115,17,848,934535,787564,16750549,2902047,Rejected
166,4,Graduate,No,482991,205512,15,702,650321,509206,37234945,8364911,Rejected
167,4,Not Graduate,Yes,779248,523640,12,752,1532505,647099,24250667,1693884,Approved
168,5,Not Graduate,No,330936,309840,20,636,1995400,366034,3363738,11199566,Rejected
169,5,Not Graduate,Yes,709973,158792,8,711,2802137,643725,9963218,4566193,Rejected
170,3,Graduate,No,725661,142245,11,621,2017552,716172,31015817,7681102,Rejected
171,3,Graduate,Yes,1109374,241770,16,695,839102,777231,2220020,6600268,Rejected
172,0,Not Graduate,Yes,500484,265479,8,876,1187693,281290,34907380,7619338,Rejected
173,3,Graduate,Yes,837363,427018,17,806,1013778,192870,36843271,502557,Approved
174,5,Graduate,No,584586,453285,9,820,2757470,494343,25607739,5619059,Rejected
175,5,Not Graduate,No,657565,385495,11,718,744440,748933,32707874,1253719,Approved
176,4,Graduate,No,343271,352111,19,595,595254,189690,31958212,2733139,Approved
177,2,Not Graduate,Yes,524013,274533,16,592,1904557,443884,8109769,4312278,Approved
178,2,Not Graduate,Yes,860545,177063,12,747,903919,292642,15020922,3634177,Approved
179,5,Graduate,Yes,304454,474829,19,828,796429,530110,33433769,13516531,Approved
180,1,Graduate,Yes,776241,489964,20,565,1659861,227497,36030299,9513350,Approved
181,0,Graduate,Yes,538070,474599,17,808,1242004,631343,35980101,8413230,Approved
182,1,Not Graduate,Yes,584537,179255,14,676,1649299,388773,33200680,6522873,Rejected
183,0,Not Graduate,No,1019732,382205,20,796,1563219,114874,38483088,10959510,Rejected
184,4,Graduate,No,1088914,360186,20,798,938674,645577,9180076,9484712,Rejected
185,1,Graduate,Yes,923733,285747,12,860,700261,299618,12438158,9548481,Rejected
186,5,Not Graduate,No,218296,458666,11,705,823132,785839,10138646,7385818,Approved
187,1,Graduate,No,1147507,502278,18,634,377686,457591,34615601,6166681,Approved
188,1,Not Graduate,No,776058,243877,18,826,1743964,789571,13441603,1495761,Approved
189,3,Graduate,Yes,737367,258009,13,591,1830373,792905,18950168,1388260,Rejected
190,5,Graduate,No,853858,150703,18,752,2583385,114281,27625028,14926720,Approved
191,2,Graduate,Yes,256948,535771,20,617,954474,731710,23410001,2525434,Approved
192,1,Graduate,No,792237,347019,11,826,2971742,573105,10756367,9224438,Approved
193,0,Not Graduate,Yes,241214,338296,9,573,1607416,369867,31307346,6645251,Rejected
194,5,Graduate,No,1125700,576701,13,750,893421,63936,17654005,7235609,Rejected
195,4,Not Graduate,No,210439,226586,8,588,2747092,550085,36864113,13522486,Approved
196,4,Graduate,No,987093,590530,19,582,1232726,129803,12741756,12621587,Approved
197,1,Not Graduate,Yes,896454,206537,17,628,1503679,416275,34826188,5006626,Approved
198,3,Graduate,No,324920,422220,13,558,2185800,428575,12371602,12229805,Rejected
199,3,Graduate,No,599525,572113,7,874,309394,357550,7968120,13758314,Approved
200,1,Not Graduate,No,528537,515516,18,674,2086247,599058,35716100,354020,Rejected
201,0,Graduate,Yes,695168,375718,16,883,2196554,797790,36429873,12303609,Approved
202,3,Graduate,Yes,476370,343643,17,779,1210781,356794,11805154,9796459,Approved
203,5,Not Graduate,No,218725,107030,7,711,1792321,412733,31245499,14962983,Approved
204,4,Not Graduate,Yes,1076755,488436,11,744,2255850,475615,23313286,13179635,Rejected
205,5,Graduate,Yes,562412,280026,13,765,342983,752811,27725833,2977481,Rejected
206,4,Graduate,Yes,642356,159877,12,885,2512785,281494,10065269,9097305,Approved
207,0,Not Graduate,Yes,605511,504387,13,625,524809,640040,31015206,2799371,Rejected
208,4,Graduate,No,1059317,364077,12,885,1430151,288187,11557997,5367066,Approved
209,4,Graduate,Yes,597103,232986,9,659,1752097,439733,15811342,10311041,Rejected
210,5,Not Graduate,Yes,799542,221132,18,739,1800601,716582,20606587,10618765,Approved
211,4,Graduate,Yes,382024,177512,11,812,2636769,549546,15496431,136411,Approved
212,0,Not Graduate,No,987991,239350,17,714,2093430,512259,4902853,4822597,Approved
213,3,Not Graduate,Yes,503633,367614,19,817,2876629,439906,36012416,4218095,Approved
214,0,Graduate,No,654233,241926,8,608,847228,327955,20771858,13087789,Rejected
215,3,Not Graduate,No,411408,313897,19,630,2037731,84329,14614033,4678379,Rejected
216,5,Not Graduate,Yes,336804,347933,15,773,1898009,289324,29669930,1384196,Approved
217,4,Not Graduate,No,1067724,122440,11,778,1731715,737248,28570482,9210858,Rejected
218,5,Graduate,No,785388,169466,6,812,2742170,96438,7652124,5155440,Approved
219,5,Not Graduate,Yes,951332,477730,17,664,1560535,690483,22971831,8586460,Rejected
220,1,Graduate,No,744285,448826,12,711,2329653,717371,34621512,9892984,Approved
221,3,Not Graduate,No,832384,402282,7,554,2714955,353412,14332402,9966935,Approved
222,4,Graduate,No,576792,225786,13,779,1363885,757923,33397035,7726236,Approved
223,5,Not Graduate,No,723007,481673,9,602,753846,667327,4996800,4093317,Rejected
224,3,Not Graduate,Yes,322815,503529,7,645,1943904,679161,11164087,6429461,Approved
225,4,Graduate,No,803943,435691,16,895,1918588,789158,1281930,3495930,Rejected
226,3,Graduate,No,562772,114841,19,859,1235394,52920,15161864,10079370,Rejected
227,4,Not Graduate,No,334293,562704,7,648,2154045,310550,4980062,12739248,Rejected
228,4,Not Graduate,No,412559,466547,10,587,2260042,233912,24510103,1852160,Approved
229,2,Not Graduate,Yes,675287,104831,15,612,1206794,773668,4257275,4610263,Rejected
230,0,Not Graduate,Yes,364115,474908,14,659,2858894,254388,4152309,7016146,Rejected
231,1,Graduate,No,275722,175706,7,707,1531191,389664,39923724,914379,Rejected
232,0,Graduate,Yes,270050,352809,6,815,1721899,193678,36952883,6934197,Approved
233,5,Not Graduate,Yes,864206,179064,7,790,1735937,711705,23024995,356155,Approved
234,3,Not Graduate,Yes,280727,186425,19,561,2727170,135837,38747757,2625755,Rejected
235,0,Graduate,Yes,810500,165019,19,720,1508026,217106,15275780,162483,Rejected
236,2,Graduate,Yes,311442,458399,18,681,1326223,280278,39600219,3452080,Approved
237,3,Graduate,No,472940,243865,14,698,367224,791487,29082583,12416313,Rejected
238,5,Graduate,Yes,586078,306346,13,786,2148289,509380,22693318,9191021,Approved
239,3,Graduate,Yes,748545,536087,10,804,2923843,588011,36687010,8722186,Approved
240,0,Graduate,Yes,841003,260304,16,774,667569,406257,27318113,5752687,Rejected
241,0,Graduate,No,628025,410955,7,586,2015973,270881,10372238,425369,Approved
242,2,Not Graduate,Yes,950815,443089,6,773,2687354,584535,20452965,10671201,Approved
243,2,Not Graduate,No,809559,512720,12,771,1583992,407023,32709849,3175228,Rejected
244,1,Not Graduate,Yes,1063929,381166,15,729,2275366,375333,6901122,1140259,Approved
245,1,Not Graduate,No,559091,447858,9,558,1895412,417887,38122977,1570369,Approved
246,2,Not Graduate,Yes,1156402,523525,9,660,509027,190068,37848839,2999400,Rejected
247,5,Not Graduate,No,266204,195308,6,688,968732,376330,7712796,1230523,Rejected
248,3,Not Graduate,Yes,609397,578613,7,551,2118957,377359,28963100,5292268,Rejected
249,0,Graduate,Yes,1146997,472705,15,843,2197456,143106,3734350,9755762,Rejected
250,4,Not Graduate,Yes,1087265,364599,12,604,2366328,350822,24202816,14157683,Rejected
251,0,Graduate,No,525167,535745,7,844,1426712,263690,39160573,4241528,Approved
252,4,Not Graduate,No,873325,136917,7,731,1731686,676298,11112914,578539,Approved
253,0,Graduate,No,345050,585198,17,578,1204387,429908,11741090,3071021,Rejected
254,0,Not Graduate,Yes,713213,391436,10,857,1957294,525936,7495855,6248821,Rejected
255,2,Graduate,No,522496,470996,9,691,2518739,158913,24238845,11090429,Rejected
256,5,Graduate,Yes,466407,125734,14,578,1316222,643325,6510378,12252425,Rejected
257,0,Graduate,No,725625,426548,6,697,1902951,799491,31593175,5775790,Approved
258,1,Graduate,No,1142948,361459,18,740,1599274,333654,28290740,11492013,Approved
259,1,Graduate,No,1195271,427011,15,568,2459114,72048,2502539,12442313,Approved
260,2,Not Graduate,No,1172203,378599,20,794,606881,675525,25738450,7189193,Rejected
261,4,Not Graduate,No,339271,373803,18,703,702226,798369,24589616,10791928,Rejected
262,4,Graduate,Yes,715629,587854,19,582,1779195,193982,11155138,14216134,Rejected
263,3,Graduate,No,1093890,572909,10,690,660320,75858,12368986,6992327,Approved
264,5,Graduate,Yes,1034175,472054,19,733,1820181,160612,4990143,11114531,Approved
265,1,Graduate,No,599007,224723,10,758,1612555,316458,19439171,8492104,Rejected
266,4,Not Graduate,Yes,1144903,257248,12,682,1063436,402834,7015009,4676409,Approved
267,4,Not Graduate,No,780449,581864,20,774,2905787,477915,22399421,13997164,Approved
268,0,Graduate,No,228220,530943,9,629,831943,537009,8930600,81752,Approved
269,5,Not Graduate,Yes,771337,437433,8,842,768062,160033,13550558,12530236,Rejected
270,4,Not Graduate,Yes,1116137,212603,7,672,2877972,325608,21575894,6022105,Approved
271,5,Graduate,No,1166691,445318,12,847,1538726,141730,6950242,5710735,Approved
272,2,Not Graduate,No,978554,132598,15,899,2657484,347065,10126950,10523167,Rejected
273,4,Not Graduate,No,255175,383240,19,689,2905031,307625,16379744,12920746,Approved
274,0,Graduate,No,1048135,109697,7,756,2799529,148152,24352826,11339082,Rejected
275,3,Not Graduate,Yes,942342,343445,11,581,1331745,670301,25427090,14045637,Rejected
276,0,Graduate,No,281155,204277,12,698,1310148,688570,26917796,12340742,Approved
277,4,Not Graduate,Yes,213754,412637,15,753,643398,386273,32049613,11254672,Rejected
278,3,Not Graduate,No,708704,231694,6,773,2344361,476634,14333548,536686,Rejected
279,4,Graduate,Yes,1150432,510247,8,732,2616628,383764,5862581,106918,Rejected
280,1,Not Graduate,No,742851,444765,19,790,916144,178218,14611553,14855064,Approved
281,2,Not Graduate,Yes,875027,138057,9,733,2357552,405889,9825953,3759561,Rejected
282,4,Not Graduate,Yes,305235,425354,11,642,2835446,704077,8453053,11430044,Rejected
283,5,Not Graduate,No,225264,462853,20,588,1602233,340228,6019873,222246,Approved
284,0,Graduate,No,531729,333658,13,662,472173,790389,20763678,12801821,Rejected
285,3,Graduate,Yes,684824,196937,12,794,1121942,205902,20449745,404526,Approved
286,4,Graduate,Yes,261365,292163,7,796,1123666,359880,33916817,6095056,Rejected
287,3,Graduate,No,251345,486978,18,805,2118382,654421,14578685,1906257,Approved
288,2,Graduate,No,836410,268655,12,723,1655813,734965,33152496,4953314,Approved
289,1,Not Graduate,Yes,803621,279895,9,777,1599489,798401,33559581,10081344,Rejected
290,5,Graduate,Yes,734871,334805,10,566,2745809,161408,9151186,12612470,Approved
291,1,Graduate,Yes,614330,244269,16,657,1335936,796253,24772903,14997369,Rejected
292,2,Graduate,No,496647,327152,13,816,2673481,677033,17424537,3523914,Rejected
293,5,Graduate,No,288848,295727,15,808,1644570,635671,24231378,565356,Approved
294,4,Not Graduate,No,431787,419679,16,782,967406,705615,17301925,2949557,Rejected
295,5,Graduate,Yes,604446,484425,20,879,2114084,395630,38392991,3653361,Approved
296,5,Graduate,Yes,529211,584473,17,731,1859694,499346,35258555,5127376,Approved
297,3,Not Graduate,Yes,707119,398385,16,860,693222,599866,27365687,7599302,Rejected
298,2,Not Graduate,Yes,327053,433931,17,728,2861284,547744,12482356,13059551,Approved
299,1,Graduate,Yes,919980,169557,9,584,2935204,345617,1009468,8735214,Approved
300,4,Graduate,No,995775,335370,12,880,1158036,556490,14884314,10823564,Rejected
301,2,Not Graduate,No,528917,102060,20,663,613040,736194,22731020,3863041,Rejected
302,5,Graduate,No,344890,481382,20,668,2247619,101486,2272761,13667685,Approved
303,5,Graduate,Yes,1064728,372240,18,823,890853,440361,31912431,8633002,Approved
304,5,Not Graduate,Yes,1079879,217886,13,643,1432559,372144,32301586,6921234,Rejected
305,2,Not Graduate,Yes,434544,541173,9,675,2018596,674095,29334635,9154968,Approved
306,0,Not Graduate,Yes,742740,313103,20,594,1830165,89164,32832698,7725583,Rejected
307,1,Not Graduate,Yes,942410,544784,20,763,2110712,739566,38214918,9328052,Approved
308,0,Not Graduate,No,909405,339039,12,716,2065047,207537,7285005,3892967,Approved
309,4,Graduate,Yes,753524,316135,17,560,2625342,274607,28974230,14698812,Approved
310,1,Not Graduate,No,803089,459079,14,690,1067517,98415,39648709,1908105,Rejected
311,4,Graduate,No,817429,419622,8,609,1141946,117536,29383226,10694864,Rejected
312,0,Graduate,No,747315,327057,10,554,1849839,189563,31479424,9834364,Rejected
313,5,Not Graduate,No,1169884,346862,11,655,2085944,212138,39790463,3094273,Rejected
314,0,Not Graduate,No,843620,472564,18,593,1596428,532608,25494303,12537488,Approved
315,0,Graduate,No,937430,193105,6,620,829989,129784,28315951,14630870,Approved
316,4,Not Graduate,Yes,916166,403373,13,796,2739434,267893,10540384,11165719,Rejected
317,3,Not Graduate,No,220758,594471,10,777,2141402,404188,31916822,12702951,Approved
318,4,Graduate,Yes,630448,132680,19,871,390273,79265,36086176,13670590,Rejected
319,5,Not Graduate,No,802828,356823,13,752,2448398,143362,2102645,10394255,Approved
320,2,Graduate,Yes,450993,160421,8,766,1205879,326670,19620478,12359635,Approved
321,2,Not Graduate,Yes,655768,439862,20,870,925817,112765,31354547,6356253,Approved
322,5,Graduate,Yes,507373,506878,16,570,1862620,54469,641253,1526733,Approved
323,1,Graduate,No,863101,318407,14,642,2050907,129265,32485560,8579875,Rejected
324,4,Graduate,Yes,1040393,568330,8,727,2855032,764367,28231112,11990409,Rejected
325,0,Graduate,No,1001614,474882,12,683,1332412,332202,6547041,3122674,Approved
326,3,Not Graduate,No,792595,177039,11,682,2535635,329013,32349126,12703597,Approved
